metal_ox,gas_cate,temperature,density,resp_density,metal,resp_val
TiO2,benzene,400,100,0.005,TiO2,1.5
TiO2,benzene,400,100,0.005,Y,1.2
TiO2,benzene,400,100,0.005,La,1.2
TiO2,benzene,400,100,0.005,Ce,1.4
TiO2,benzene,400,100,0.005,Pr,1.2
TiO2,benzene,400,100,0.005,Nd,1.2
TiO2,benzene,400,100,0.005,Sm,1.2
TiO2,benzene,400,100,0.005,Eu,1.2
TiO2,benzene,400,100,0.005,Gd,2.3
TiO2,benzene,400,100,0.005,Ho,1.1
TiO2,benzene,400,100,0.005,Er,3.5
TiO2,benzene,400,100,0.005,Yb,1.2
TiO2,benzene,400,100,0.005,Sb,1.8
TiO2,benzene,400,100,0.004,TiO2,1.5
TiO2,benzene,400,100,0.004,Y,1.1
TiO2,benzene,400,100,0.004,La,1.2
TiO2,benzene,400,100,0.004,Ce,1.2
TiO2,benzene,400,100,0.004,Pr,1.2
TiO2,benzene,400,100,0.004,Nd,1.1
TiO2,benzene,400,100,0.004,Sm,1.3
TiO2,benzene,400,100,0.004,Eu,1.3
TiO2,benzene,400,100,0.004,Gd,2.5
TiO2,benzene,400,100,0.004,Ho,1.3
TiO2,benzene,400,100,0.004,Er,2.9
TiO2,benzene,400,100,0.004,Yb,1.2
TiO2,benzene,400,100,0.004,Sb,1.8
TiO2,benzene,400,100,0.003,TiO2,1.5
TiO2,benzene,400,100,0.003,Y,1.5
TiO2,benzene,400,100,0.003,La,1.3
TiO2,benzene,400,100,0.003,Ce,1.2
TiO2,benzene,400,100,0.003,Pr,1.3
TiO2,benzene,400,100,0.003,Nd,1.3
TiO2,benzene,400,100,0.003,Sm,1.2
TiO2,benzene,400,100,0.003,Eu,1.3
TiO2,benzene,400,100,0.003,Gd,3.2
TiO2,benzene,400,100,0.003,Ho,1.2
TiO2,benzene,400,100,0.003,Er,3.7
TiO2,benzene,400,100,0.003,Yb,1.2
TiO2,benzene,400,100,0.003,Sb,1.9
TiO2,benzene,400,100,0.002,TiO2,1.5
TiO2,benzene,400,100,0.002,Y,1.3
TiO2,benzene,400,100,0.002,La,1.2
TiO2,benzene,400,100,0.002,Ce,1.2
TiO2,benzene,400,100,0.002,Pr,1.2
TiO2,benzene,400,100,0.002,Nd,1.2
TiO2,benzene,400,100,0.002,Sm,1.3
TiO2,benzene,400,100,0.002,Eu,1.3
TiO2,benzene,400,100,0.002,Gd,2.9
TiO2,benzene,400,100,0.002,Ho,1.3
TiO2,benzene,400,100,0.002,Er,1.0
TiO2,benzene,400,100,0.002,Yb,1.2
TiO2,benzene,400,100,0.002,Sb,1.8
TiO2,benzene,400,100,0.001,TiO2,1.5
TiO2,benzene,400,100,0.001,Y,1.2
TiO2,benzene,400,100,0.001,La,1.3
TiO2,benzene,400,100,0.001,Ce,1.2
TiO2,benzene,400,100,0.001,Pr,1.3
TiO2,benzene,400,100,0.001,Nd,1.3
TiO2,benzene,400,100,0.001,Sm,1.2
TiO2,benzene,400,100,0.001,Eu,1.3
TiO2,benzene,400,100,0.001,Gd,2.7
TiO2,benzene,400,100,0.001,Ho,1.6
TiO2,benzene,400,100,0.001,Er,1.8
TiO2,benzene,400,100,0.001,Yb,1.1
TiO2,benzene,400,100,0.001,Sb,1.2
TiO2,benzene,350,100,0.005,TiO2,1.7
TiO2,benzene,350,100,0.005,Y,1.0
TiO2,benzene,350,100,0.005,La,3.4
TiO2,benzene,350,100,0.005,Ce,1.3
TiO2,benzene,350,100,0.005,Pr,1.0
TiO2,benzene,350,100,0.005,Nd,1.0
TiO2,benzene,350,100,0.005,Sm,1.7
TiO2,benzene,350,100,0.005,Eu,1.0
TiO2,benzene,350,100,0.005,Gd,1.0
TiO2,benzene,350,100,0.005,Ho,1.2
TiO2,benzene,350,100,0.005,Er,1.0
TiO2,benzene,350,100,0.005,Yb,1.1
TiO2,benzene,350,100,0.005,Sb,2.2
TiO2,benzene,350,100,0.004,TiO2,1.7
TiO2,benzene,350,100,0.004,Y,1.0
TiO2,benzene,350,100,0.004,La,1.2
TiO2,benzene,350,100,0.004,Ce,1.2
TiO2,benzene,350,100,0.004,Pr,1.0
TiO2,benzene,350,100,0.004,Nd,1.1
TiO2,benzene,350,100,0.004,Sm,1.7
TiO2,benzene,350,100,0.004,Eu,1.4
TiO2,benzene,350,100,0.004,Gd,1.0
TiO2,benzene,350,100,0.004,Ho,1.0
TiO2,benzene,350,100,0.004,Er,1.0
TiO2,benzene,350,100,0.004,Yb,1.1
TiO2,benzene,350,100,0.004,Sb,5.9
TiO2,benzene,350,100,0.003,TiO2,1.7
TiO2,benzene,350,100,0.003,Y,1.0
TiO2,benzene,350,100,0.003,La,3.8
TiO2,benzene,350,100,0.003,Ce,1.3
TiO2,benzene,350,100,0.003,Pr,1.0
TiO2,benzene,350,100,0.003,Nd,1.0
TiO2,benzene,350,100,0.003,Sm,1.9
TiO2,benzene,350,100,0.003,Eu,1.4
TiO2,benzene,350,100,0.003,Gd,1.0
TiO2,benzene,350,100,0.003,Ho,1.4
TiO2,benzene,350,100,0.003,Er,1.0
TiO2,benzene,350,100,0.003,Yb,1.2
TiO2,benzene,350,100,0.003,Sb,6.8
TiO2,benzene,350,100,0.002,TiO2,1.7
TiO2,benzene,350,100,0.002,Y,1.0
TiO2,benzene,350,100,0.002,La,2.3
TiO2,benzene,350,100,0.002,Ce,1.9
TiO2,benzene,350,100,0.002,Pr,1.0
TiO2,benzene,350,100,0.002,Nd,1.0
