metal_ox,gas_cate,temperature,density,resp_density,metal,resp_val
wo3,benzene,100,400,0.0,Y,1.5
wo3,benzene,100,400,0.0,La,1.7
wo3,benzene,100,400,0.0,Ce,1.5
wo3,benzene,100,400,0.0,Pr,2.1
wo3,benzene,100,400,0.0,Nd,1.3
wo3,benzene,100,400,0.0,Sm,1.7
wo3,benzene,100,400,0.0,Eu,1.9
wo3,benzene,100,400,0.0,Gd,1.6
wo3,benzene,100,400,0.0,Ho,1.6
wo3,benzene,100,400,0.0,Er,2.5
wo3,benzene,100,400,0.0,Yb,2.0
wo3,benzene,100,400,0.0,Sb,1.3
wo3,benzene,100,400,0.001,Y,1.5
wo3,benzene,100,400,0.001,La,1.5
wo3,benzene,100,400,0.001,Ce,1.4
wo3,benzene,100,400,0.001,Pr,1.8
wo3,benzene,100,400,0.001,Nd,1.4
wo3,benzene,100,400,0.001,Sm,1.7
wo3,benzene,100,400,0.001,Eu,1.7
wo3,benzene,100,400,0.001,Gd,1.7
wo3,benzene,100,400,0.001,Ho,1.6
wo3,benzene,100,400,0.001,Er,2.3
wo3,benzene,100,400,0.001,Yb,1.8
wo3,benzene,100,400,0.001,Sb,1.2
wo3,benzene,100,400,0.002,Y,1.5
wo3,benzene,100,400,0.002,La,1.5
wo3,benzene,100,400,0.002,Ce,1.3
wo3,benzene,100,400,0.002,Pr,2.0
wo3,benzene,100,400,0.002,Nd,1.8
wo3,benzene,100,400,0.002,Sm,1.6
wo3,benzene,100,400,0.002,Eu,1.8
wo3,benzene,100,400,0.002,Gd,1.6
wo3,benzene,100,400,0.002,Ho,1.6
wo3,benzene,100,400,0.002,Er,2.3
wo3,benzene,100,400,0.002,Yb,2.0
wo3,benzene,100,400,0.002,Sb,1.2
wo3,benzene,100,400,0.003,Y,1.7
wo3,benzene,100,400,0.003,La,1.6
wo3,benzene,100,400,0.003,Ce,1.3
wo3,benzene,100,400,0.003,Pr,2.1
wo3,benzene,100,400,0.003,Nd,2.1
wo3,benzene,100,400,0.003,Sm,1.6
wo3,benzene,100,400,0.003,Eu,1.7
wo3,benzene,100,400,0.003,Gd,1.6
wo3,benzene,100,400,0.003,Ho,1.7
wo3,benzene,100,400,0.003,Er,2.3
wo3,benzene,100,400,0.003,Yb,2.0
wo3,benzene,100,400,0.003,Sb,1.2
wo3,benzene,100,400,0.004,Y,1.5
wo3,benzene,100,400,0.004,La,1.5
wo3,benzene,100,400,0.004,Ce,1.3
wo3,benzene,100,400,0.004,Pr,2.3
wo3,benzene,100,400,0.004,Nd,1.4
wo3,benzene,100,400,0.004,Sm,1.6
wo3,benzene,100,400,0.004,Eu,1.8
wo3,benzene,100,400,0.004,Gd,1.8
wo3,benzene,100,400,0.004,Ho,1.6
wo3,benzene,100,400,0.004,Er,2.0
wo3,benzene,100,400,0.004,Yb,1.9
wo3,benzene,100,400,0.004,Sb,1.2
wo3,benzene,100,400,0.005,Y,1.5
wo3,benzene,100,400,0.005,La,1.6
wo3,benzene,100,400,0.005,Ce,1.2
wo3,benzene,100,400,0.005,Pr,2.2
wo3,benzene,100,400,0.005,Nd,1.2
wo3,benzene,100,400,0.005,Sm,1.6
wo3,benzene,100,400,0.005,Eu,1.9
wo3,benzene,100,400,0.005,Gd,1.6
wo3,benzene,100,400,0.005,Ho,1.6
wo3,benzene,100,400,0.005,Er,2.2
wo3,benzene,100,400,0.005,Yb,2.2
wo3,benzene,100,400,0.005,Sb,1.3
wo3,benzene,100,350,0.0,Y,1.4
wo3,benzene,100,350,0.0,La,1.7
wo3,benzene,100,350,0.0,Ce,1.4
wo3,benzene,100,350,0.0,Pr,2.0
wo3,benzene,100,350,0.0,Nd,1.7
wo3,benzene,100,350,0.0,Sm,1.6
wo3,benzene,100,350,0.0,Eu,1.8
wo3,benzene,100,350,0.0,Gd,1.5
wo3,benzene,100,350,0.0,Ho,1.7
wo3,benzene,100,350,0.0,Er,2.4
wo3,benzene,100,350,0.0,Yb,1.7
wo3,benzene,100,350,0.0,Sb,1.3
wo3,benzene,100,350,0.001,Y,1.1
wo3,benzene,100,350,0.001,La,1.4
wo3,benzene,100,350,0.001,Ce,1.2
wo3,benzene,100,350,0.001,Pr,1.5
wo3,benzene,100,350,0.001,Nd,2.2
wo3,benzene,100,350,0.001,Sm,1.6
wo3,benzene,100,350,0.001,Eu,1.6
wo3,benzene,100,350,0.001,Gd,1.6
wo3,benzene,100,350,0.001,Ho,1.7
wo3,benzene,100,350,0.001,Er,2.3
wo3,benzene,100,350,0.001,Yb,1.5
wo3,benzene,100,350,0.001,Sb,1.2
wo3,benzene,100,350,0.002,Y,1.5
wo3,benzene,100,350,0.002,La,1.4
wo3,benzene,100,350,0.002,Ce,1.2
wo3,benzene,100,350,0.002,Pr,1.7
wo3,benzene,100,350,0.002,Nd,3.6
wo3,benzene,100,350,0.002,Sm,1.5
wo3,benzene,100,350,0.002,Eu,1.8
wo3,benzene,100,350,0.002,Gd,1.5
wo3,benzene,100,350,0.002,Ho,1.6
wo3,benzene,100,350,0.002,Er,2.4
wo3,benzene,100,350,0.002,Yb,1.6
wo3,benzene,100,350,0.002,Sb,1.3
wo3,benzene,100,350,0.003,Y,1.7
wo3,benzene,100,350,0.003,La,1.5
wo3,benzene,100,350,0.003,Ce,1.2
wo3,benzene,100,350,0.003,Pr,1.7
wo3,benzene,100,350,0.003,Nd,4.1
wo3,benzene,100,350,0.003,Sm,1.4
wo3,benzene,100,350,0.003,Eu,1.6
wo3,benzene,100,350,0.003,Gd,1.5
wo3,benzene,100,350,0.003,Ho,1.8
wo3,benzene,100,350,0.003,Er,2.4
wo3,benzene,100,350,0.003,Yb,1.6
wo3,benzene,100,350,0.003,Sb,1.3
wo3,benzene,100,350,0.004,Y,1.4
wo3,benzene,100,350,0.004,La,1.4
wo3,benzene,100,350,0.004,Ce,1.2
wo3,benzene,100,350,0.004,Pr,1.7
wo3,benzene,100,350,0.004,Nd,2.1
wo3,benzene,100,350,0.004,Sm,1.4
wo3,benzene,100,350,0.004,Eu,1.7
wo3,benzene,100,350,0.004,Gd,1.7
wo3,benzene,100,350,0.004,Ho,1.6
wo3,benzene,100,350,0.004,Er,2.0
wo3,benzene,100,350,0.004,Yb,1.6
wo3,benzene,100,350,0.004,Sb,1.2
wo3,benzene,100,350,0.005,Y,1.5
wo3,benzene,100,350,0.005,La,1.5
wo3,benzene,100,350,0.005,Ce,1.1
wo3,benzene,100,350,0.005,Pr,1.6
wo3,benzene,100,350,0.005,Nd,1.4
wo3,benzene,100,350,0.005,Sm,1.5
wo3,benzene,100,350,0.005,Eu,2.0
wo3,benzene,100,350,0.005,Gd,1.5
wo3,benzene,100,350,0.005,Ho,1.6
wo3,benzene,100,350,0.005,Er,2.3
wo3,benzene,100,350,0.005,Yb,1.6
wo3,benzene,100,350,0.005,Sb,1.3
wo3,benzene,100,300,0.0,Y,1.4
wo3,benzene,100,300,0.0,La,1.7
wo3,benzene,100,300,0.0,Ce,1.3
wo3,benzene,100,300,0.0,Pr,1.9
wo3,benzene,100,300,0.0,Nd,1.3
wo3,benzene,100,300,0.0,Sm,1.5
wo3,benzene,100,300,0.0,Eu,1.8
wo3,benzene,100,300,0.0,Gd,1.5
wo3,benzene,100,300,0.0,Ho,1.9
wo3,benzene,100,300,0.0,Er,2.2
wo3,benzene,100,300,0.0,Yb,1.4
wo3,benzene,100,300,0.0,Sb,1.3
wo3,benzene,100,300,0.001,Y,1.1
wo3,benzene,100,300,0.001,La,1.4
wo3,benzene,100,300,0.001,Ce,1.2
wo3,benzene,100,300,0.001,Pr,1.4
wo3,benzene,100,300,0.001,Nd,1.7
wo3,benzene,100,300,0.001,Sm,1.5
wo3,benzene,100,300,0.001,Eu,1.7
wo3,benzene,100,300,0.001,Gd,1.7
wo3,benzene,100,300,0.001,Ho,1.9
wo3,benzene,100,300,0.001,Er,2.1
wo3,benzene,100,300,0.001,Yb,1.3
wo3,benzene,100,300,0.001,Sb,1.2
wo3,benzene,100,300,0.002,Y,1.5
wo3,benzene,100,300,0.002,La,1.5
wo3,benzene,100,300,0.002,Ce,1.1
wo3,benzene,100,300,0.002,Pr,1.5
wo3,benzene,100,300,0.002,Nd,2.1
wo3,benzene,100,300,0.002,Sm,1.3
wo3,benzene,100,300,0.002,Eu,1.9
wo3,benzene,100,300,0.002,Gd,1.5
wo3,benzene,100,300,0.002,Ho,1.8
wo3,benzene,100,300,0.002,Er,2.3
wo3,benzene,100,300,0.002,Yb,1.3
wo3,benzene,100,300,0.002,Sb,1.3
wo3,benzene,100,300,0.003,Y,1.8
wo3,benzene,100,300,0.003,La,1.6
wo3,benzene,100,300,0.003,Ce,1.1
wo3,benzene,100,300,0.003,Pr,1.5
wo3,benzene,100,300,0.003,Nd,2.3
